"rank","gene"
331,"DDX6"
332,"ARID5B"
333,"ARGLU1"
334,"SETD2"
335,"RAB27A"
336,"CD27"
337,"CCNL1"
338,"SOD1"
339,"EMB"
340,"TTC39C"
341,"CRBN"
342,"OASL"
343,"SLC2A3"
344,"RIPOR2"
345,"MAGED2"
346,"ARPC5L"
347,"VDAC3"
348,"RPS3"
349,"CD9"
350,"C6orf48"
351,"CYTOR"
352,"SATB1"
353,"GSTO1"
354,"WARS"
355,"SOCS1"
356,"VAMP5"
357,"SDCBP"
358,"SVIP"
359,"RPL32"
360,"PCF11"
361,"EVL"
362,"TAF1D"
363,"CHORDC1"
364,"SNHG7"
365,"RPS26"
366,"S1PR4"
367,"SNRPA1"
368,"RPL34"
369,"SRM"
370,"STK17A"
371,"RAB9A"
372,"PERP"
373,"RBM17"
374,"AES"
375,"C12orf57"
376,"LYAR"
377,"CD6"
378,"BCAS2"
379,"CHD1"
380,"SRSF8"
381,"SRSF1"
382,"WDR33"
383,"SYNGR2"
384,"AREG"
385,"LEPROTL1"
386,"SYTL3"
387,"IFIT1"
388,"PTGER4"
389,"ZFP36L1"
390,"IER2"
391,"RPL39"
392,"ZFAS1"
393,"C7orf50"
394,"YIPF5"
395,"IRF1"
396,"GYG1"
397,"ABHD3"
398,"GGNBP2"
399,"PSIP1"
400,"CLK4"
401,"HIST1H1C"
402,"SRGN"
403,"NUCB2"
404,"GCC2"
405,"PRKCH"
406,"XBP1"
407,"RNF126"
408,"GBP5"
409,"ADSS"
410,"FNTA"
411,"PRMT1"
412,"ANXA2R"
413,"BTN3A2"
414,"PBXIP1"
415,"AOAH"
416,"HDDC2"
417,"CCDC28A"
418,"MRPS6"
419,"KLF6"
420,"TAGAP"
421,"KIAA1551"
422,"CLDND1"
423,"WDR74"
424,"CD55"
425,"C9orf78"
426,"CASP8"
427,"WHAMM"
428,"SEPT7"
429,"LUC7L3"
430,"P2RY10"
431,"PPP1CB"
432,"SC5D"
433,"IKZF1"
434,"PIM2"
435,"MPHOSPH10"
436,"DNPH1"
437,"CCDC59"
438,"EML4"
439,"TMEM176B"
440,"SLC38A1"
441,"STAT3"
442,"CCT2"
443,"RBM39"
444,"NKTR"
445,"AKIRIN1"
446,"NSMCE1"
447,"LSM2"
448,"NCL"
449,"CCDC85B"
450,"GSPT1"
451,"DDX24"
452,"SLFN5"
453,"GABARAPL1"
454,"PEBP1"
455,"RPL10A"
456,"FAM162A"
457,"H3F3B"
458,"BCLAF1"
459,"MGAT4A"
460,"ZNHIT3"
461,"CLU"
462,"RPS3A"
463,"ASF1A"
464,"ARHGEF1"
465,"H2AFZ"
466,"HLA-DMA"
467,"SMC4"
468,"GNL3"
469,"SEC11C"
470,"CCNG1"
471,"EEF1A1"
472,"RPS19"
473,"C1orf162"
474,"APOBEC3C"
475,"ERG28"
476,"IMP3"
477,"FAM177A1"
478,"PDE4B"
479,"COMMD3"
480,"TSTD1"
481,"TTC19"
482,"TECR"
483,"GRPEL1"
484,"ERGIC2"
485,"EIF4A2"
486,"TAGLN2"
487,"FKBP11"
488,"TRIAP1"
489,"DNAJB9"
490,"PPP2R5C"
491,"GAPDH"
492,"DUT"
493,"ATRX"
494,"JPT1"
495,"MS4A6A"
496,"BLOC1S4"
497,"PLIN2"
498,"MBP"
499,"DSTN"
500,"RBBP7"
501,"CDC42SE2"
502,"NXT1"
503,"PHLDA1"
504,"RSRP1"
505,"NSD3"
506,"SDF2L1"
507,"PPA1"
508,"IL1R2"
509,"HMGN3"
510,"RWDD1"
511,"AKR1B1"
