"rank","gene"
1386,"PTPN2"
1387,"POLR2I"
1388,"RPS25"
1389,"UBE2B"
1390,"SIRT7"
1391,"DCAF13"
1392,"PPIB"
1393,"FUS"
1394,"NDUFAF8"
1395,"TMEM147"
1396,"TNFAIP8"
1397,"WDR46"
1398,"GPR18"
1399,"PRKAR1A"
1400,"RFC1"
1401,"RSF1"
1402,"RNF149"
1403,"TIAL1"
1404,"KDSR"
1405,"RPP38"
1406,"BANF1"
1407,"FDFT1"
1408,"MARCH7"
1409,"LAMP1"
1410,"PANK2"
1411,"NTMT1"
1412,"URM1"
1413,"NOP53"
1414,"BZW1"
1415,"MKRN1"
1416,"ZNF267"
1417,"IFITM2"
1418,"PRRC2C"
1419,"NSRP1"
1420,"MRPL10"
1421,"TRAPPC2L"
1422,"DNTTIP2"
1423,"PEX16"
1424,"SPOP"
1425,"ZNF33A"
1426,"BEX4"
1427,"DNPEP"
1428,"ING3"
1429,"ATXN10"
1430,"CBR1"
1431,"RHOF"
1432,"TIPARP"
1433,"CRLF3"
1434,"RNASEH2C"
1435,"TAF12"
1436,"YWHAQ"
1437,"CNIH1"
1438,"CMAS"
1439,"MRPL52"
1440,"MNDA"
1441,"COPS6"
1442,"COX5A"
1443,"EMG1"
1444,"TTC1"
1445,"LSM8"
1446,"SRRM2"
1447,"JPX"
1448,"TMEM128"
1449,"EXOG"
1450,"PHF11"
1451,"SUGT1"
1452,"NIPA2"
1453,"NSMCE4A"
1454,"LPXN"
1455,"PPP1R15A"
1456,"CMC1"
1457,"HNRNPA0"
1458,"SMIM26"
1459,"ADGRE5"
1460,"OSER1"
1461,"RNF34"
1462,"POP5"
1463,"YPEL3"
1464,"UBE2E3"
1465,"MTX1"
1466,"R3HDM4"
1467,"SRP19"
1468,"PTP4A2"
1469,"AK2"
1470,"SURF4"
1471,"MRPL47"
1472,"TPGS1"
1473,"NDUFB7"
1474,"SQSTM1"
1475,"RBM7"
1476,"SRPRA"
1477,"SEPT9"
1478,"SRP9"
1479,"COMMD2"
1480,"HBP1"
1481,"UBE2K"
1482,"ATP5F1A"
1483,"HAGH"
1484,"MAP2K1"
1485,"UBQLN1"
1486,"SP140"
1487,"COA1"
1488,"CHD2"
1489,"MCRIP1"
1490,"ZNF330"
1491,"WSB1"
1492,"PDCD5"
1493,"PPM1G"
1494,"THOC7"
1495,"RBM3"
1496,"EIF4A3"
1497,"YAF2"
1498,"NDUFB10"
1499,"HIKESHI"
1500,"NDUFA10"
1501,"DEDD2"
1502,"MRPS35"
1503,"POLE4"
1504,"GBP2"
1505,"PPP1R7"
1506,"EIF3H"
1507,"POLD2"
1508,"CD82"
1509,"ZFR"
1510,"NUS1"
1511,"ARF4"
1512,"HADHB"
1513,"ATP2B1"
1514,"DERL1"
1515,"RPP25L"
1516,"SDF2"
1517,"TMEM208"
1518,"CIRBP"
1519,"TXNL4A"
1520,"LLPH"
1521,"NDUFS4"
1522,"RNF113A"
1523,"ARL6IP4"
1524,"PDAP1"
1525,"SP140L"
1526,"PIGBOS1"
1527,"RAN"
1528,"SEC23B"
1529,"MRPL16"
1530,"EIF2S3"
1531,"TPST2"
1532,"EIF3F"
1533,"MAGOH"
1534,"MED6"
1535,"NFYB"
1536,"PSMD13"
1537,"GSTK1"
1538,"PSMD12"
1539,"MPC1"
1540,"PPCS"
1541,"RBM4"
1542,"AKR7A2"
1543,"SPON2"
1544,"NDFIP1"
1545,"TPGS2"
1546,"RPL14"
1547,"MYDGF"
1548,"CTSS"
1549,"CYC1"
1550,"RPS27L"
1551,"CALM1"
1552,"CYSLTR1"
1553,"IFT57"
1554,"NDUFB8"
1555,"LCMT1"
1556,"PSMC5"
1557,"HCST"
1558,"PTPRC"
1559,"RAD9A"
1560,"MPLKIP"
1561,"TXNDC9"
1562,"TMED4"
1563,"UBL7"
1564,"MRPS7"
1565,"FIS1"
1566,"SRSF10"
1567,"RIC8A"
1568,"CD5"
1569,"RNF139"
1570,"SMDT1"
1571,"YTHDC1"
1572,"CIR1"
1573,"HAT1"
1574,"NSL1"
1575,"POLR2H"
1576,"TCEAL8"
1577,"OSTC"
1578,"RGS19"
1579,"VRK2"
1580,"CCDC32"
1581,"HLA-DMB"
1582,"GADD45GIP1"
1583,"STIP1"
1584,"CDC42EP3"
1585,"MMADHC"
1586,"TPRKB"
1587,"UBA2"
1588,"APPL1"
1589,"CCZ1"
1590,"TPM4"
1591,"PSMC6"
1592,"APOPT1"
1593,"ABCE1"
1594,"CLPP"
1595,"TWISTNB"
1596,"IFI30"
1597,"RABGAP1L"
1598,"BZW2"
1599,"ANP32A"
1600,"NOL7"
1601,"SMCHD1"
1602,"AKR1C3"
1603,"SELENOF"
1604,"SNRPD3"
1605,"RPS19BP1"
1606,"TSN"
1607,"EIF3A"
1608,"EIF3L"
1609,"TSEN34"
1610,"YME1L1"
1611,"RAB6A"
1612,"THOC3"
1613,"EIF2S2"
1614,"ASNSD1"
1615,"C19orf25"
1616,"FDPS"
1617,"SLC31A2"
1618,"TXN2"
1619,"EBNA1BP2"
1620,"PRDX1"
1621,"DLD"
1622,"ITGB1BP1"
1623,"TOR1AIP1"
1624,"TMEM230"
1625,"ANKRD37"
1626,"SF3B2"
1627,"FYB1"
1628,"RPL23A"
1629,"USP3"
1630,"COX7A2L"
1631,"ECHDC1"
1632,"TRIM56"
1633,"CHRAC1"
1634,"MPG"
1635,"PSMB4"
1636,"TIMM29"
1637,"TARDBP"
1638,"SAP30BP"
1639,"RPL19"
1640,"ACAP1"
1641,"SMS"
1642,"SREK1"
1643,"DDX3X"
1644,"LARS"
1645,"PPP2CA"
1646,"ECHS1"
1647,"RABEP1"
1648,"C5AR1"
1649,"SUMO1"
1650,"MED4"
1651,"MGST3"
1652,"SETX"
1653,"SELENOS"
1654,"PLEKHA1"
1655,"RRAGA"
1656,"RFTN1"
1657,"ERAP2"
1658,"GOLGA7"
1659,"RABIF"
1660,"ISCA2"
1661,"RUNX3"
1662,"NUDT16L1"
1663,"ZNF394"
1664,"XRCC6"
1665,"FBXL15"
1666,"EFHD2"
1667,"TMEM11"
1668,"PPP4R2"
1669,"GSTP1"
1670,"SYS1"
1671,"ISCU"
1672,"ANP32E"
1673,"MARCH5"
1674,"RBM18"
1675,"LARP7"
1676,"SLC25A38"
1677,"FUBP1"
1678,"FNBP1"
1679,"HNRNPF"
1680,"MRPS21"
1681,"PBDC1"
1682,"SERINC3"
1683,"WASF2"
1684,"SNRNP27"
1685,"FGFR1OP2"
1686,"TMEM248"
1687,"EED"
1688,"PDE4DIP"
1689,"TRABD"
1690,"CARHSP1"
1691,"BDP1"
1692,"RPP30"
1693,"MT-CYB"
1694,"SSNA1"
1695,"ZCCHC10"
1696,"ARL6IP6"
1697,"TCF25"
1698,"TSTA3"
1699,"TNF"
1700,"ARMC10"
1701,"LINC00667"
1702,"DKC1"
1703,"ALKBH5"
1704,"RPS13"
1705,"MRPL40"
1706,"PPP1R18"
1707,"GTF2E2"
1708,"LSM3"
1709,"MRPS31"
1710,"TMCO1"
1711,"NOL8"
1712,"KANSL1"
1713,"RPS23"
1714,"LACTB"
1715,"MCL1"
1716,"FYTTD1"
1717,"SELENOW"
1718,"TFG"
1719,"HMGA1"
1720,"RPL12"
1721,"SNRPB"
1722,"SAMSN1"
1723,"TOPORS"
1724,"NKAP"
1725,"CMTM3"
1726,"VDAC2"
1727,"CYP20A1"
1728,"STARD3NL"
1729,"TIMM9"
1730,"IMMT"
1731,"UXS1"
1732,"AP1S2"
1733,"ATP1A1"
1734,"ADM"
1735,"CDC42SE1"
1736,"ELOF1"
1737,"PIGH"
1738,"NDEL1"
1739,"LILRB4"
1740,"MRPL46"
1741,"ETS1"
1742,"NASP"
1743,"RBM8A"
1744,"HPRT1"
1745,"SNRPD2"
1746,"YBX3"
1747,"STX5"
1748,"PHF20L1"
1749,"ZFAND2B"
1750,"ALDH2"
1751,"MT-ND5"
1752,"TSEN15"
1753,"TMEM205"
1754,"LAMTOR2"
1755,"RPN2"
1756,"TBRG1"
1757,"CHIC2"
1758,"PLA2G16"
1759,"STX8"
1760,"BASP1"
1761,"RBM6"
1762,"SPHK1"
1763,"NDUFA8"
1764,"MAIP1"
1765,"HINT1"
1766,"POLR2G"
1767,"LEPROT"
1768,"HNRNPD"
1769,"NIPSNAP2"
1770,"CD99"
1771,"SNHG12"
1772,"SAYSD1"
1773,"ZBTB8OS"
1774,"ZDHHC12"
1775,"NRDC"
1776,"USP48"
1777,"VMP1"
1778,"VPS4B"
1779,"LMO4"
1780,"ALG3"
1781,"UCHL3"
1782,"MRPL36"
1783,"ZNF688"
1784,"ETFB"
1785,"ANKH"
1786,"NDUFV2"
1787,"RAB4A"
1788,"RNF146"
1789,"SCAF11"
1790,"MECP2"
1791,"TMEM167A"
1792,"ARL6IP1"
1793,"PRPF4B"
1794,"ICAM3"
1795,"STAU1"
1796,"DHX15"
1797,"DDX39A"
1798,"DHX29"
1799,"SH3KBP1"
1800,"USP16"
1801,"GPN3"
1802,"PTPN7"
1803,"RBMS1"
1804,"C1orf131"
1805,"PNKD"
1806,"PTPN1"
1807,"ANAPC11"
1808,"PGAM1"
1809,"BNIP3"
1810,"EBI3"
1811,"NDUFB9"
1812,"PFDN6"
1813,"UBE2N"
1814,"UTP18"
1815,"ELF2"
1816,"LENG1"
1817,"BLCAP"
1818,"TNFRSF13B"
1819,"NDUFS7"
1820,"PPP2R3C"
1821,"CSDE1"
1822,"APLP2"
1823,"PNPLA8"
1824,"PPIL4"
1825,"ZCCHC17"
1826,"EIF3I"
1827,"PDCD6"
1828,"PHB2"
1829,"YIF1A"
1830,"GNL2"
1831,"MAD2L1BP"
1832,"UHMK1"
1833,"RCN2"
1834,"ATP5F1D"
1835,"SH3BGRL"
1836,"SAFB2"
1837,"HMGB1"
1838,"DIMT1"
1839,"RIOK1"
1840,"CCNC"
1841,"POLR2F"
1842,"EBP"
1843,"NGLY1"
1844,"ELAVL1"
1845,"PPP4R3B"
1846,"RABAC1"
1847,"SNRNP35"
1848,"AQP9"
1849,"AATF"
1850,"PMF1"
1851,"ERH"
1852,"PAIP2"
1853,"CLK3"
1854,"CDKN1B"
1855,"SSB"
1856,"MRTO4"
1857,"CYB561D2"
1858,"SSBP1"
1859,"VOPP1"
1860,"PSMD2"
1861,"GARS"
1862,"SBNO1"
1863,"SEC11A"
1864,"SMC2"
1865,"AP3B1"
1866,"CCT5"
1867,"GTF2A2"
1868,"PSMA3-AS1"
1869,"SRSF9"
1870,"FBXL5"
1871,"PAK2"
1872,"PTRHD1"
1873,"ITK"
1874,"KAT5"
1875,"CREG1"
1876,"PHF1"
1877,"SLC25A3"
1878,"MRPL20"
1879,"LRP10"
1880,"ARMCX6"
1881,"SCOC"
1882,"RELB"
1883,"RRP7A"
1884,"VPS28"
1885,"CSNK1A1"
1886,"GRN"
1887,"NDUFV1"
1888,"HSPA4"
1889,"SSR3"
1890,"ANAPC13"
1891,"C19orf66"
1892,"C19orf53"
1893,"UQCRQ"
1894,"TIMM22"
1895,"ELP5"
1896,"DCK"
1897,"PRKAG1"
1898,"CREB1"
1899,"ERGIC3"
1900,"TMEM87A"
1901,"USP15"
1902,"RAP1B"
1903,"SF3B6"
1904,"PARL"
1905,"POLE3"
1906,"FADD"
1907,"PHF20"
1908,"UTP3"
1909,"PRPF6"
1910,"PSMC4"
1911,"FLT3LG"
1912,"PDIA4"
1913,"AIM2"
1914,"DNAJC8"
1915,"ATP5MPL"
1916,"MFSD10"
1917,"PSMG2"
1918,"METTL9"
1919,"NDUFAF3"
1920,"SLU7"
1921,"EMC7"
1922,"DUSP6"
1923,"ARL5A"
1924,"DYNC1I2"
1925,"NR1H2"
1926,"ACADM"
1927,"CCDC124"
1928,"IDH2"
1929,"NUTF2"
1930,"RPL18"
1931,"PRPF38A"
1932,"GDI2"
1933,"PIN1"
1934,"CHMP2B"
1935,"MRPL51"
1936,"ABCF1"
1937,"MRPL33"
1938,"VDAC1"
1939,"RPL27A"
1940,"MTHFS"
1941,"DDX50"
1942,"CD36"
1943,"SNAP23"
1944,"PKM"
1945,"SRI"
1946,"CDC26"
1947,"PNRC2"
1948,"CALM3"
1949,"NDUFA9"
1950,"CTR9"
1951,"TIPRL"
1952,"RAB11A"
1953,"UBE2E1"
1954,"MRPL13"
1955,"NIP7"
1956,"SSR1"
1957,"COA5"
1958,"CYB5A"
1959,"DPM2"
1960,"ABRACL"
1961,"LZIC"
1962,"UTP11"
1963,"FRG1"
1964,"IRF2BP2"
1965,"MTERF4"
1966,"EXOSC7"
1967,"TP53RK"
1968,"C1orf174"
1969,"PLRG1"
1970,"POLR3K"
1971,"CSNK1D"
1972,"TXNDC12"
1973,"PSMD11"
1974,"SNW1"
1975,"FNBP4"
1976,"ATP5ME"
1977,"GPATCH8"
1978,"CHCHD7"
1979,"ATP5PB"
1980,"TMEM138"
1981,"AUP1"
1982,"ELOVL5"
1983,"CIB1"
1984,"HAVCR2"
1985,"CARD19"
1986,"NECAP2"
1987,"ZNF75A"
1988,"VKORC1"
1989,"TOP1"
1990,"LETMD1"
1991,"NELFE"
1992,"SAFB"
1993,"TIMM10B"
1994,"BRD2"
1995,"ZDHHC4"
1996,"ATP6AP2"
1997,"PRPF40A"
1998,"CSTF2T"
1999,"COPS5"
2000,"GPR65"
2001,"EMC6"
2002,"ABHD14B"
2003,"CNIH4"
2004,"FAM3C"
2005,"MRPS22"
2006,"STK17B"
2007,"CCNDBP1"
2008,"BNIP3L"
2009,"DNAJB4"
2010,"PSMB5"
2011,"NDUFB5"
2012,"NUCB1"
2013,"TOMM40"
2014,"TMEM204"
2015,"LGALS8"
2016,"CNPY3"
2017,"PCM1"
2018,"SUMO3"
2019,"NUBP2"
2020,"PNMA1"
2021,"RNF7"
2022,"SNRNP40"
2023,"SPAG7"
2024,"NDUFA6"
2025,"YIPF4"
2026,"PUF60"
2027,"PRCC"
2028,"CBX3"
2029,"MORF4L1"
2030,"RIF1"
2031,"NDUFS2"
2032,"MRPL41"
2033,"DNMT1"
2034,"RPS7"
2035,"SCAMP2"
2036,"KRR1"
2037,"MXD1"
2038,"RCSD1"
2039,"MESD"
2040,"ZNHIT1"
2041,"KRTCAP2"
2042,"YDJC"
2043,"RFXANK"
2044,"AASDHPPT"
2045,"POLR2E"
2046,"XRN2"
2047,"TBC1D15"
2048,"ASNA1"
2049,"HLA-F"
2050,"MRPL48"
2051,"BRMS1"
2052,"SYF2"
2053,"ATG5"
2054,"KDELR2"
2055,"UXT"
2056,"ARRB2"
2057,"COPZ1"
2058,"RPS6KB2"
2059,"DRAM2"
2060,"ATP5F1C"
2061,"TMEM50B"
2062,"DCAF7"
2063,"ATP5PD"
2064,"ORAI1"
2065,"PRKRA"
2066,"HDAC1"
2067,"SDHB"
2068,"CRTC3"
2069,"SEPT2"
2070,"PGLS"
2071,"KPNB1"
2072,"ARF6"
2073,"MRPL54"
2074,"NDUFC1"
2075,"RNF114"
2076,"COMT"
2077,"ISY1"
2078,"EEF2"
2079,"CCNL2"
2080,"SRPK2"
2081,"ATG101"
2082,"KIAA1143"
2083,"RAD23A"
2084,"TTC9C"
2085,"MRPL14"
2086,"WAC"
2087,"LYPLA2"
2088,"RAB11B"
2089,"WAPL"
2090,"CRYZL1"
2091,"NRBP1"
2092,"UROD"
2093,"C1orf123"
2094,"DDX17"
2095,"ESCO1"
2096,"RABGGTB"
2097,"EIF3D"
2098,"TAX1BP1"
2099,"LRPAP1"
2100,"PDIA3"
2101,"CES1"
2102,"EXOSC3"
2103,"POP7"
2104,"CISD2"
2105,"PGRMC2"
2106,"DYNLT1"
2107,"EXOC7"
2108,"NUDT22"
2109,"NDUFS6"
2110,"MRPS18C"
2111,"WASHC3"
2112,"ZNF430"
2113,"SMIM12"
2114,"HNRNPU"
2115,"VRK3"
2116,"DCTN2"
2117,"SIAH2"
2118,"RBM42"
2119,"SUPT4H1"
2120,"NUB1"
2121,"EIF4A1"
2122,"OPTN"
2123,"HDAC2"
2124,"SDHD"
2125,"CMTM6"
2126,"GOSR1"
2127,"EIF4G2"
2128,"UBA3"
2129,"FAM104A"
2130,"SRSF5"
2131,"TAPBPL"
2132,"TRIM22"
2133,"CAT"
2134,"SNX20"
2135,"TMED2"
2136,"PRELID3B"
2137,"TOR1A"
2138,"ZFAND6"
2139,"SELENOT"
2140,"ARL16"
2141,"SMC6"
2142,"HAUS1"
2143,"ORAI2"
2144,"GCLM"
2145,"NMRK1"
2146,"CCRL2"
2147,"LTA4H"
2148,"ITPA"
2149,"CHCHD10"
2150,"OXNAD1"
2151,"UFL1"
2152,"LYRM4"
2153,"EFR3A"
2154,"CYTH1"
2155,"TXNL1"
2156,"UNC50"
2157,"LRRFIP1"
2158,"BORCS7"
2159,"UQCRH"
2160,"TRMT112"
2161,"YWHAZ"
2162,"IL27RA"
2163,"TRAPPC4"
2164,"GPCPD1"
2165,"COPB1"
2166,"TAP2"
2167,"ASAH1"
2168,"MIER1"
2169,"CHMP4A"
2170,"IL10RA"
2171,"EMC3"
2172,"PTTG1IP"
2173,"HCCS"
2174,"ROCK1"
2175,"TNIP2"
2176,"PPWD1"
2177,"PET100"
2178,"PLGRKT"
2179,"PPP1R11"
2180,"TSNAX"
2181,"UBE2F"
2182,"UFD1"
2183,"C1orf122"
2184,"ESD"
2185,"SHOC2"
2186,"TRIM38"
2187,"NOSIP"
2188,"EIF2AK1"
2189,"XRN1"
2190,"ANXA7"
2191,"GGA1"
2192,"SERPINB9"
2193,"MRPL19"
2194,"EMD"
2195,"MBNL1"
2196,"PIGP"
2197,"ITSN2"
2198,"VTI1B"
2199,"PFKFB3"
2200,"OARD1"
2201,"HNRNPA1"
2202,"SMARCA5"
2203,"MRPS18A"
2204,"RALBP1"
2205,"RBM14"
2206,"SCAND1"
2207,"GLIPR2"
2208,"SSU72"
2209,"BAZ1A"
2210,"CCDC47"
2211,"IDH3G"
2212,"SRP68"
2213,"ZNF622"
2214,"ANXA11"
2215,"RNF19A"
2216,"ME2"
2217,"FKBP8"
2218,"SELENOH"
2219,"CIAO1"
2220,"CNOT4"
2221,"UBE2J2"
2222,"RBM23"
2223,"KXD1"
2224,"DAZAP2"
2225,"FAM49A"
2226,"CFAP20"
2227,"COQ4"
2228,"EIF3G"
2229,"VPS35"
2230,"ATP5MD"
2231,"XIST"
2232,"CD58"
2233,"PTPMT1"
2234,"API5"
2235,"DNASE2"
2236,"FNIP1"
2237,"PPM1B"
2238,"USP8"
2239,"GTF2F1"
2240,"MINOS1"
2241,"P4HB"
2242,"BLOC1S2"
2243,"MAPRE1"
2244,"SMU1"
2245,"FANCF"
2246,"NFKB2"
2247,"F8A1"
2248,"SEC63"
2249,"MIF"
2250,"ARHGAP30"
2251,"PAFAH1B1"
2252,"RARA"
2253,"RBM5"
2254,"SPINT2"
2255,"NRBF2"
2256,"BTF3L4"
2257,"SLC25A39"
2258,"TDG"
2259,"TIMM17B"
2260,"BSG"
2261,"METTL21A"
2262,"CDKN1A"
2263,"MYH9"
2264,"CCDC167"
2265,"DDAH2"
2266,"BUD31"
2267,"SNRPB2"
2268,"TRAPPC1"
2269,"PTPRE"
2270,"SMIM15"
2271,"CWF19L2"
2272,"FGD5-AS1"
2273,"ZNF207"
2274,"C18orf21"
2275,"EMP1"
2276,"CALM2"
2277,"SMARCB1"
2278,"COX20"
2279,"BCCIP"
2280,"NENF"
2281,"KIN"
2282,"NAGK"
2283,"PSMD4"
2284,"HGSNAT"
2285,"NDUFA12"
2286,"ATP5F1B"
2287,"SSR2"
2288,"PSMC2"
2289,"UBXN4"
2290,"CARS"
2291,"GTF2B"
2292,"ILKAP"
2293,"MRPL27"
2294,"PIAS1"
2295,"RSU1"
2296,"RTCB"
2297,"MT-ND3"
2298,"MCM3"
2299,"CYBB"
2300,"NBEAL1"
2301,"CENPC"
2302,"PSMD3"
2303,"BRD7"
2304,"FMNL1"
2305,"TMX1"
2306,"PGK1"
2307,"TSC22D4"
2308,"FIBP"
2309,"AKIRIN2"
2310,"ATP6V1E1"
2311,"TMUB1"
2312,"INIP"
2313,"CUEDC2"
2314,"HNRNPA1P48"
2315,"PDCD10"
2316,"PRKAG2"
2317,"CHCHD5"
2318,"DAD1"
2319,"CTSH"
2320,"ZEB2"
2321,"RBBP6"
2322,"TIMMDC1"
2323,"TPI1"
2324,"TMEM179B"
2325,"EIF3K"
2326,"RB1CC1"
2327,"DNAJC15"
2328,"THAP7"
2329,"NELFCD"
2330,"RAE1"
2331,"POP4"
2332,"HADHA"
2333,"TRAPPC2B"
2334,"LILRB2"
2335,"PSMA5"
2336,"TANK"
2337,"ATP5PO"
2338,"RPS15"
2339,"RAB32"
2340,"SPG21"
2341,"IKZF3"
2342,"PJA2"
2343,"UBL3"
2344,"LAMTOR1"
2345,"OTUB1"
2346,"NFATC2IP"
2347,"SPART"
2348,"NFU1"
2349,"TGOLN2"
2350,"ACO2"
2351,"SLC25A11"
2352,"AKR1A1"
2353,"MYLIP"
2354,"SMAP1"
2355,"SFPQ"
2356,"CNPPD1"
2357,"ADPRM"
2358,"SUMF2"
2359,"GOLGB1"
2360,"COMMD6"
2361,"HM13"
2362,"SGF29"
2363,"KTN1"
2364,"NANS"
2365,"HSF1"
2366,"SDHC"
2367,"STXBP3"
2368,"BCAP31"
2369,"PCBP2"
2370,"C12orf45"
2371,"PAIP1"
2372,"MRPS36"
2373,"WBP2"
2374,"SNRNP70"
2375,"CD2BP2"
2376,"SGTB"
2377,"ATXN3"
2378,"GID8"
2379,"CDC73"
2380,"SERINC1"
2381,"SEC62"
2382,"VCP"
2383,"STMP1"
2384,"PSMF1"
2385,"PPID"
2386,"PSMD9"
2387,"ISOC1"
2388,"PSMD7"
2389,"PSMB6"
2390,"UBE2Q2"
2391,"ILK"
2392,"EI24"
2393,"CYTH2"
2394,"NDUFA3"
2395,"TDP2"
2396,"ARFGAP3"
2397,"TRA2A"
2398,"APH1A"
2399,"BAX"
2400,"AP3S1"
2401,"RPLP2"
2402,"UFM1"
2403,"TTF1"
2404,"RTN3"
2405,"CCDC25"
2406,"LYRM2"
2407,"ACADVL"
2408,"JUND"
2409,"EHD1"
2410,"UBXN1"
2411,"UBE2D2"
2412,"NEU1"
2413,"SLIRP"
2414,"C8orf59"
2415,"WDR83OS"
2416,"DYNLRB1"
2417,"ADPGK"
2418,"PSMG4"
2419,"DOCK8"
2420,"PQLC3"
2421,"MAPKAPK5-AS1"
2422,"C1orf43"
2423,"STT3B"
2424,"FAM192A"
2425,"PIGT"
2426,"DNAJB11"
2427,"RHEB"
2428,"GABARAPL2"
2429,"DNAJC7"
2430,"RAB5A"
2431,"DHX9"
2432,"ERICH1"
2433,"PPA2"
2434,"EMC10"
2435,"SMCO4"
2436,"DAXX"
2437,"MED28"
2438,"PPAN"
2439,"TGFB1"
2440,"CRIPT"
2441,"LMAN2"
2442,"NTAN1"
2443,"GLRX5"
2444,"FAM200B"
2445,"MED8"
2446,"RNMT"
2447,"C14orf119"
2448,"TIMM10"
2449,"DCAF11"
2450,"BFAR"
2451,"NEDD8"
2452,"PPIA"
2453,"RAB1A"
2454,"TRAF1"
2455,"CAMTA1"
2456,"FAM96B"
2457,"TMEM60"
2458,"IFNG"
2459,"CXCL11"
2460,"SPP1"
2461,"IGHG3"
2462,"IGHG1"
2463,"NMB"
2464,"LAG3"
2465,"MZB1"
2466,"APOBEC3B"
2467,"MAEA"
2468,"EDN1"
2469,"CD79B"
2470,"CCL19"
2471,"CSF2"
2472,"MIR3945HG"
2473,"HBD"
2474,"VCAN"
2475,"LY6E"
2476,"TRH"
2477,"IGFBP7"
2478,"C1QA"
2479,"IGHG4"
2480,"OSM"
2481,"HES4"
2482,"TARBP1"
2483,"CH25H"
2484,"L3MBTL3"
2485,"ICOS"
2486,"AC116407.2"
2487,"MCEMP1"
2488,"MMP7"
2489,"FUNDC1"
2490,"NUDT21"
2491,"IFI6"
2492,"DEFB1"
2493,"AQP3"
2494,"PKIB"
2495,"C2orf74"
2496,"SERPINF1"
2497,"LPIN2"
2498,"CARD16"
2499,"NELL2"
2500,"MAP3K8"
2501,"PPP1R8"
2502,"CD38"
2503,"PFN1"
2504,"EBPL"
2505,"MMP9"
2506,"OAS1"
2507,"MAGEH1"
2508,"LGALS2"
2509,"PYHIN1"
2510,"ACOD1"
2511,"TPSB2"
2512,"TMEM203"
2513,"CLEC5A"
2514,"MX1"
2515,"NEXN"
2516,"LTV1"
2517,"SDC2"
2518,"TIFA"
2519,"EXOSC5"
2520,"RWDD4"
2521,"ATP6V1H"
2522,"GPATCH4"
2523,"HAPLN3"
2524,"SAMD9"
2525,"DNAJA1"
2526,"NDUFAF6"
2527,"ARRDC2"
2528,"MOAP1"
2529,"CCND2"
2530,"IL23A"
2531,"BISPR"
2532,"ABHD5"
2533,"CCNQ"
2534,"USB1"
2535,"EREG"
2536,"HACD3"
2537,"TSPAN2"
2538,"PTPN4"
2539,"ATP6V0B"
2540,"PRR5"
2541,"ACTR1A"
2542,"PLEKHF1"
2543,"ENO1"
2544,"OAZ1"
2545,"SUSD3"
2546,"LYSMD2"
2547,"HLA-A"
2548,"SP110"
2549,"BAG5"
2550,"CKB"
2551,"AP3M2"
2552,"ZNF770"
2553,"GBP4"
2554,"CDKN2AIP"
2555,"ZPR1"
2556,"AVP"
2557,"BANK1"
2558,"TMEM123"
2559,"COX11"
2560,"CCDC50"
2561,"DNASE1L3"
2562,"CD48"
2563,"AL118516.1"
2564,"CCNA1"
2565,"UTRN"
2566,"CHRNB1"
2567,"NQO1"
2568,"CXCL9"
2569,"S100PBP"
2570,"CCDC66"
2571,"N4BP1"
2572,"FH"
2573,"GPR155"
2574,"ACTL6A"
2575,"GALM"
2576,"MGST1"
2577,"HERC5"
2578,"TAF3"
2579,"PRPF19"
2580,"MEI1"
2581,"DCP1A"
2582,"S1PR1"
2583,"NT5DC1"
2584,"MT1X"
2585,"MTMR9"
2586,"PLSCR1"
2587,"IL27"
2588,"RNASE6"
2589,"IGFBP4"
2590,"SLC30A5"
2591,"ITGB2"
2592,"SUCLA2"
2593,"ARHGAP24"
2594,"LAMTOR3"
2595,"LGALS3BP"
2596,"CCL20"
2597,"CLTB"
2598,"MIS18BP1"
2599,"CDKN1C"
2600,"CELF1"
2601,"PRDX3"
2602,"TPST1"
2603,"SCML4"
2604,"EIF2AK2"
2605,"TGFBI"
2606,"ANAPC10"
2607,"ICE2"
2608,"TADA3"
2609,"KTI12"
2610,"DERL2"
2611,"CREBZF"
2612,"UBE2D1"
2613,"CXCL5"
2614,"CHD8"
2615,"PCMT1"
2616,"ECI2"
2617,"NEAT1"
2618,"RUVBL1"
2619,"FAS"
2620,"IFI44L"
2621,"GRSF1"
2622,"HBG2"
2623,"GLA"
2624,"KDM5A"
2625,"RPL6"
2626,"HTATIP2"
2627,"AKAP17A"
2628,"LAMP3"
2629,"TMEM140"
2630,"SPTLC1"
2631,"PEPD"
2632,"RBCK1"
2633,"HOTAIRM1"
2634,"USP34"
2635,"DRAM1"
2636,"SSH2"
2637,"RUBCNL"
2638,"SP100"
2639,"NT5C3A"
2640,"RAB11FIP1"
2641,"GNAI3"
2642,"ZNF354A"
2643,"NDUFAF2"
2644,"TMX4"
2645,"ACAT2"
2646,"MRPL44"
2647,"TMEM9B"
2648,"NTPCR"
2649,"IDH3A"
2650,"GRHPR"
2651,"ADAM28"
2652,"PEX2"
2653,"FOXN2"
2654,"ANKRD22"
2655,"ATP6V1D"
2656,"SELENOK"
2657,"CNTRL"
2658,"MCRIP2"
2659,"IFI16"
2660,"LIPA"
2661,"SHISAL2A"
2662,"ARMT1"
2663,"CHI3L2"
2664,"ZBP1"
2665,"SRPRB"
2666,"BLNK"
2667,"TPD52"
2668,"XAF1"
2669,"DHRS9"
