avg_log2fc,cluster,gene,p_adj,p_value,pct_1,pct_2
1.299047591092148,0,TRAT1,0,0,0.4324845679012346,0.1368377991409286
1.1800237945239704,0,PABPC1,0,0,0.9405864197530864,0.789732051544283
1.1361167030904278,0,FYN,0,0,0.34375,0.11740642258130497
1.1139038072399814,0,ALOX5AP,0,0,0.4670138888888889,0.2088361628144815
1.1123461866156075,0,CREM,0,0,0.6751543209876543,0.3721415422376764
1.0984121360033172,0,GPR171,0,0,0.22145061728395063,0.05845776232358355
1.0602907495687044,0,ITM2A,0,0,0.3489583333333333,0.14816935978727755
1.0425146306176896,0,RGS1,0,0,0.30613425925925924,0.12771527919820005
0.9902878632920185,0,TIGIT,0,0,0.15895061728395063,0.04573532419717734
0.9523816432451835,0,SPOCK2,0,0,0.3341049382716049,0.13426058498670485
0.9432816504034958,0,ZFP36L2,0,0,0.5923996913580247,0.3340969523419922
0.9096348940742833,0,CD2,0,0,0.49459876543209874,0.22638576395991
0.8978236006278084,0,IL7R,0,0,0.4380787037037037,0.22421763141746778
0.8838998494819397,0,DUSP2,0,0,0.2507716049382716,0.12636530987932093
0.8632980259512296,0,TNFRSF4,0,0,0.13020833333333334,0.02896297811413377
0.8615694040747425,0,SESN3,0,0,0.1576003086419753,0.04773982409490694
0.843805851453221,0,GPR183,0,0,0.46219135802469136,0.2715892820617713
0.8332494588593307,0,IL32,0,0,0.32021604938271603,0.16162814481489057
0.8220340570143629,0,NR3C1,0,0,0.33101851851851855,0.1739824094906934
0.8090111000084446,0,ZFP36,0,0,0.4893904320987654,0.35831458375946
0.8037315250911878,0,TRAC,0,0,0.6678240740740741,0.35757823685825324
0.8007793840619445,0,ARID5B,0,0,0.22897376543209877,0.10967478011863367
0.7961008633876991,0,TRBC2,0,0,0.6095679012345679,0.36825526692575167
0.7953049889950761,0,EML4,0,0,0.21026234567901234,0.09298425035794641
0.7848011223911922,0,CLEC2D,0,0,0.6195987654320988,0.36510533851503374
0.7773567908839389,0,PTPRC,0,0,0.6535493827160493,0.47592554714665575
0.7635264847967811,0,SETD2,0,0,0.14718364197530864,0.048476170996113725
0.7410124160817131,0,TRBC1,0,0,0.4834104938271605,0.27874821026794844
0.7386242173822459,0,CLDND1,0,0,0.24247685185185186,0.14141951319288198
0.7294175507301002,0,LEPROTL1,0,0,0.45929783950617287,0.2741664962159951
0.7200892505797923,0,PIK3R1,0,0,0.1884645061728395,0.07105747596645531
0.7028648865791238,0,RPL3,0,0,0.996141975308642,0.9363059930456126
0.7018203567110035,0,RPS16,0,0,0.9299768518518519,0.8512170177950501
0.6908587641866726,0,CXCR4,0,0,0.8269675925925926,0.5813049703415831
0.673102179402318,0,CD3D,0,0,0.5692515432098766,0.30460216813254243
0.672212171787641,0,ARHGDIB,0,0,0.7690972222222222,0.5813867866639395
0.6721703726697963,0,CD7,0,0,0.43113425925925924,0.2521579055021477
0.6615810642258037,0,ITGB1,0,0,0.2037037037037037,0.12268357537328697
0.6598669213690878,0,LCK,0,0,0.30671296296296297,0.15663734915115565
0.659684474540664,0,FXYD5,0,0,0.6084104938271605,0.4774391491102475
0.6530406327776718,0,YIPF5,0,0,0.19328703703703703,0.10010227040294539
0.6493223144292157,0,RPL14,0,0,0.9558256172839507,0.8501943137655963
0.6399288577618838,0,PBXIP1,0,0,0.15393518518518517,0.06340764982614032
0.6276361624148422,0,EMB,0,0,0.13618827160493827,0.054653303334015135
0.6184397838819393,0,RPS4X,0,0,0.9971064814814815,0.9577418695029658
0.6073654574560368,0,RPLP0,0,0,0.8929398148148148,0.7394968296175087
